Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Adenium obesum	obesum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Adenium	Adenium obesum
Nerium oleander	oleander	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Nerium	Nerium oleander
Asclepias nivea	nivea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias nivea
Diplorhynchus condylocarpon	condylocarpon	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Diplorhynchus	Diplorhynchus condylocarpon
Gentiana altorum	altorum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana altorum
Gentiana		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	
Gentiana moniliformis	moniliformis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana moniliformis
Gentiana szechenyii	szechenyii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana szechenyii
Gentianella barbata	barbata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella barbata
Gentianella stenocalyx	stenocalyx	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella stenocalyx
Pachypodium ambongense	ambongense	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Pachypodium	Pachypodium ambongense
Malouetia		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Malouetia	
Malouetia naias	naias	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Malouetia	Malouetia naias
Odontadenia puncticulosa	puncticulosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Odontadenia	Odontadenia puncticulosa
Amsonia rigida	rigida	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Amsonia	Amsonia rigida
Amsonia longiflora	longiflora	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Amsonia	Amsonia longiflora
Amsonia tomentosa	tomentosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Amsonia	Amsonia tomentosa
Antonia ovata	ovata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Antonia	Antonia ovata
Apocynum macranthum	macranthum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum	Apocynum macranthum
Araujia sericifera	sericifera	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Araujia	Araujia sericifera
Asclepias macrosperma	macrosperma	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias involucrata
Aspidosperma tomentosum	tomentosum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Aspidosperma	Aspidosperma tomentosum
Bartonia paniculata paniculata	paniculata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Bartonia	Bartonia paniculata
Barjonia erecta	erecta	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Barjonia	Barjonia erecta
Calotropis procera	procera	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Calotropis	Calotropis procera
Celiantha bella	bella	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Celiantha	Celiantha bella
Centaurium beyrichii	beyrichii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium beyrichii
Centaurium exaltatum	exaltatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium exaltatum
Curtia verticillaris	verticillaris	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Curtia	Curtia verticillaris
Ditassa lenheirensis	lenheirensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Ditassa	Ditassa lenheirensis
Geniostoma stenophyllum	stenophyllum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Geniostoma	Geniostoma stenophyllum
Gentianopsis detonsa elegans	detonsa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianopsis	Gentianopsis thermalis
Gentiana silenoides	silenoides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana silenoides
Gothofreda macroglossa	macroglossa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Gothofreda	Gothofreda macroglossa
Hemipogon		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Hemipogon	
Himatanthus drasticus	drasticus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Himatanthus	Himatanthus drasticus
Oxypetalum mexiae	mexiae	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Oxypetalum	Oxypetalum mexiae
Peltastes peltatus	peltatus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Peltastes	Peltastes peltatus
Plumeria obtusa	obtusa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Plumeria	Plumeria obtusa
